GL Code,Category,Combined Allowed,Description,Height Limit (ft),Max Stories,Notes,Prohibited With,Residential Only,Subcategory
15538,,No,Musical Instrument Stores,,,,,No,
15600,,No,Nail Salons,,,,,No,
15607,,No,Newspaper or Magazine Distributors,,,,,No,
15608,,No,Newsstands,,,,,No,
15656,,No,"Nightclubs, Cabarets and Comedy Clubs",,,,,No,
15699,,No,Nursery--Garden,,,,,No,
15733,,No,Oil Refineries,,,,,No,
15839,,No,Optical Goods Stores,,,,,No,
15991,,No,"Paint, Wallpaper or Wallcovering Stores",,,,,No,
15993,,No,"Painting, Picture or Frame Stores",,,,,No,
16005,,No,Paper Products Distributors,,,,,No,
16009,,No,"Paper, Rag or Rubber Stock Dealers and Distributors--Secondhand",,,,,No,
16402,,No,Pet Grooming,,,,,No,
16403,,No,Pet Stores,,,,,No,
16404,,No,Pet Training,,,,,No,
16471,,No,Photographers,,,,,No,
16501,,No,Plastic or Rubber Supply Goods Distributors,,,,,No,
16527,,No,Plumbing Supplies and Fixtures Dealers and Distributors,,,,,No,
16588,,No,Printers or Electrotypers Supplies--Distributors,,,,,No,
16604,,No,Produce Handling or Packing,,,,,No,
16670,,No,Racquet Sports and Handball Facilities--Commercially Operated,,,,,No,
16676,,No,Music Stores--Pre-Recorded,,,,,No,
16694,,No,Recreational Vehicle Dealers,,,,,No,
16705,,No,Refrigeration Equipment--Dealers and Distributors Only--Commercial,,,,,No,
16722,,No,Rental Stores,,,,,No,
16723,,No,Rental Stores--Machinery or Equipment--Rented to Others on a Long-Term Basis,,,,,No,
16750,,No,Internet Retailers,,,,,No,
16751,,No,Internet Auctions,,,,,No,
16819,,No,Restaurants--Operated by Concessionaires--Other Than Not-For-Profit,,,,,No,
16820,,No,Restaurants--Operated by Concessionaires--Not-For-Profit Only,,,,,No,
16881,,No,Secondhand or Salvage Dealers and Distributors,,,,,No,
16890,,No,"Seed Merchants--Excluding Erroneous Delivery, Error in Mixture and Germination Failure",,,,,No,
16891,,No,"Seed Merchants--Erroneous Delivery, Error in Mixture and Resulting Germination Failure",,,,,No,
16892,,No,"Seed Merchants--Erroneous Delivery, and Error in Mixture (Excluding Germination Failure)",,,,,No,
16900,,No,Restaurants--with No Sale of Alcoholic Beverages--with Table Service,,,,,No,
16901,,No,Restaurants--with No Sale of Alcoholic Beverages--without Table Service with Seating,,,,,No,
16902,,No,Restaurants--with No Sale of Alcoholic Beverages--without Seating,,,,,No,
16910,,No,Restaurants--with Sale of Alcoholic Beverages that are Less Than 30% of the Annual Receipts of the Restaurants--with Table Service,,,,,No,
16911,,No,Restaurants--with Sale of Alcoholic Beverages that are Less Than 30% of the Annual Receipts of the Restaurants--without Table Service with Seating,,,,,No,
16915,,No,Restaurants--with Sale of Alcoholic Beverages that are 30% or More of But Less Than 75% of the Total Annual Receipts of the Restaurants--with Dance Floor,,,,,No,
16916,,No,Restaurants--with Sale of Alcoholic Beverages that are 30% or More of But Less Than 75% of the Total Annual Receipts of the Restaurants--without Dance Floor,,,,,No,
